Exercise (old name),Description,Name with Link,Movement Type,Pattern,Primary Body Part,Secondary Body Part,Equipment
Low incline db bench neutral,Bench Press – Low Incline Dumbbell (Neutral Grip),https://drive.google.com/file/d/16mJSAdrwU0HQtj45XE-53oK0Y82rQ7C2/view?usp=drivesdk,Compound,Vertical Push,Chest,Triceps,Dumbbell + Bench
Low incline db bench rotating,Bench Press – Low Incline Dumbbell (Rotating Grip),https://drive.google.com/file/d/1gcFI90vpk-Uhyvi8S1-iijn37awMm1wa/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Dumbbell + Bench
Low Incline DB bench semi-pro,Bench Press – Low Incline Dumbbell (Semi-Pronated),https://drive.google.com/file/d/1rLe-YtggwXOCmviFPZmIdp0SdxgEjTHg/view?usp=drivesdk,Compound,Vertical Push,Chest,Triceps,Dumbbell + Bench
Powerlifting Barbell Bench Press,Bench Press – Powerlifting Barbell,https://drive.google.com/file/d/17UM2ROw0dMR_N3gKGqM05u8_6OguI_wd/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Barbell + Bench
 Cable Bicep Curl ( Bar),Biceps Curl – Cable (Bar),https://drive.google.com/file/d/1Fuo53PpaO2Kzr_zm3Q6L1OWznDMlDEHl/view?usp=drivesdk,Isolation,Isolation,Biceps,,Cables
 Cable Bicep Curl (dual),Biceps Curl – Cable (Dual Arm),https://drive.google.com/file/d/1mX_9EdJu7O1EuZdic_U6Jnlm1sCNni_B/view?usp=drivesdk,Isolation,"To categorize this movement, I need more information about the exercise. Please provide the specific exercise to categorize it.",Biceps,,Cables
 Cable Bicep Curl (sa),Biceps Curl – Cable (Single Arm),https://drive.google.com/file/d/1bmh2n3_PCHX8xMHI8RZU7Ub1I5mqdtMV/view?usp=drivesdk,Isolation,Isolation,Biceps,,Cables
 Dumbbell bicep curl (mech ds),Biceps Curl – Dumbbell (Mechanical Drop Set),https://drive.google.com/file/d/11A5ZWAASFN66GjTSbN7z-Ltfax43C2nO/view?usp=drivesdk,Isolation,"None of the provided categories apply to ""Isolation"" as a movement type.",Biceps,,Dumbbells
 Dumbbell bicep curl (supinated),Biceps Curl – Dumbbell (Supinated),https://drive.google.com/file/d/1zeJej9qGPmapOPRHVX4h70VaSg2udOtT/view?usp=drivesdk,Isolation,Isolation,Biceps,,Dumbbells
 E-z bar bicep curl,Biceps Curl – EZ-Bar,https://drive.google.com/file/d/1URNsd_DPGFi-BTOuYLMlyHqXdg6scNdT/view?usp=drivesdk,Isolation,None,Biceps,,EZ Bar
 Ez Bar Preacher Curl,Biceps Curl – EZ-Bar Preacher,https://drive.google.com/file/d/11dBF3Me2FfhgO6TyguTdd_eAya7P2V8Q/view?usp=drivesdk,Isolation,Isolation,Biceps,,EZ Bar + Preacher Curl
 Dumbbell hammer curl,Biceps Curl – Hammer Dumbbell,https://drive.google.com/file/d/1-3oePsrie8-g8FeqHuwrtEzl8qjaYYus/view?usp=drivesdk,Isolation,Vertical Pull,Biceps,,Dumbbells
 Dumbbell Hammer Preacher Curl,Biceps Curl – Hammer Preacher Dumbbell,https://drive.google.com/file/d/11_-LsupVnBIvDzujTfsOeqe5a8VAP6Rv/view?usp=drivesdk,Isolation,Vertical Pull,Biceps,,Dumbbells + Preacher Curl
 Machine bicep curl,Biceps Curl – Machine,https://drive.google.com/file/d/1aBGHYAVJM256LnWeUMsZhBqDeIkVCCIo/view?usp=drivesdk,Isolation,Isolation,Biceps,,Machine
 Dumbbell Preacher Curl,Biceps Curl – Preacher Dumbbell,https://drive.google.com/file/d/1CX_COuNrWVWWLEZed5ZVAEY5yOwWZPs-/view?usp=drivesdk,Isolation,Isolation,Biceps,,Dumbbells + Preacher Curl
 Dumbbell zottman curl,Biceps Curl – Zottman Dumbbell,https://drive.google.com/file/d/1Y-nZTPgqNlSOliIGGA3sIHhTXPaa54Ez/view?usp=drivesdk,Isolation,Isolation,Biceps,,Dumbbells
 Seated Calf Raise,Calf Raise – Seated,https://drive.google.com/file/d/1YJIPSK6tpLL7k5sCDEEH-CrneU-WKG1v/view?usp=drivesdk,Isolation,None of the provided categories apply to a Seated Calf Raise,Calves,,Machine
 Standing Calf Raise,Calf Raise – Standing,https://drive.google.com/file/d/1wbgKvEwEP-zBSQ1ZkSNl-Jxu6B-z0R8A/view?usp=drivesdk,Isolation,Isolation,Calves,,Machine
 Standing Calf Raise (sl),Calf Raise – Standing (Single Leg),https://drive.google.com/file/d/10s6VxiJ-xk48q2EG_MUWs1uinsF32eu7/view?usp=drivesdk,Isolation,Isolation,Calves,,Machine
 farmers carry,Carry – Farmer’s,https://drive.google.com/file/d/1Qu18zirGo7pErVn5zp0iQrXATnjyMcXF/view?usp=drivesdk,Compound,Accessory,Carry,Grip,Weights
 kb front rack carry,Carry – Kettlebell Front Rack,https://drive.google.com/file/d/1qs_Q-nh8NgHuUXAGcg53bfQAWEuLFGBn/view?usp=drivesdk,Compound,Squat Quad Dominant,Carry,Abdominals,Kettlebell
 dball carry,Carry – Medicine Ball,https://drive.google.com/file/d/1SgeQ3bcGp90GlflG8HFBAK3t3MjUAuUP/view?usp=drivesdk,Compound,Hinge,Carry,Abdominals,D Ball
 offset kb carry (shoulder),Carry – Offset Kettlebell (Shoulder),https://drive.google.com/file/d/1Ldcm6dWQE0gMh4uWNsU3gi6fqNEipE8x/view?usp=drivesdk,Compound,Vertical Push,Carry,Abdominals,Kettlebell
 oh kb offset carry,Carry – Overhead Offset Kettlebell,https://drive.google.com/file/d/1z5ikgXp6lT8RD0uosKXw7YzFcgTDjgrO/view?usp=drivesdk,Compound,Accessory,Carry,Abdominals,Kettlebell
Suitcase Carry,Carry – Suitcase,https://drive.google.com/file/d/1cL5p9lcwY9I92WOCYCAU9jBfFc1_dRAL/view?usp=drivesdk,Compound,Hinge,Carry,Grip,Weights
 Barbell zercher carry,Carry – Zercher Barbell,https://drive.google.com/file/d/1rPoZxUdkBMWYLN2jYDtOSv6DWgofpRz4/view?usp=drivesdk,Compound,Accessory,Carry,Abdominals,Barbell
Dual cable high fly,Chest Fly – Dual Cable (High),https://drive.google.com/file/d/12KJMa9P4dVj_II6eD8jIA03xA9EtIJmZ/view?usp=drivesdk,Isolation,Isolation,Chest,,Cables
Dual cable kneeling fly,Chest Fly – Dual Cable (Kneeling),https://drive.google.com/file/d/1Z4jxJqrBwh8SYqAw0gf5lMXtTcXerdJp/view?usp=drivesdk,Isolation,Isolation,Chest,,Cables
Dual cable low fly,Chest Fly – Dual Cable (Low),https://drive.google.com/file/d/1oCMhl0gsrpD1ePXl0JWOo7OF_tNp783v/view?usp=drivesdk,Isolation,Isolation,Chest,,Cables
Dual cable mid fly,Chest Fly – Dual Cable (Mid),https://drive.google.com/file/d/1wc8VA_DOwKZ1RgHoqtSWVsnfXfwpAV8V/view?usp=drivesdk,Isolation,Isolation,Chest,,Cables
Machine Chest Fly,Chest Fly – Machine,https://drive.google.com/file/d/17wufxZYMNfYs8U4I9eeBzgaVx05bsT1D/view?usp=drivesdk,Isolation,Isolation,Chest,Shoulders,Machine
 Decline chest press ,Chest Press – Decline,https://drive.google.com/file/d/1Y2H1-DcYyZLV_RHv4bLBJgUioypwQyis/view?usp=drivesdk,Compound,Horizontal push,Chest,Triceps,Machine
Pin loaded chest press (neutral),Chest Press – Pin Loaded (Neutral),https://drive.google.com/file/d/1z0xmLPxNqeUD588yIBr7iaUU4H6v-Oba/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Machine
 Pin loaded chest press (pronated),Chest Press – Pin Loaded (Pronated),https://drive.google.com/file/d/1RQenWJY3McNRts0MF79Pk_qjJSa4x-BR/view?usp=drivesdk,Compound,Horizontal Push,Chest,Triceps,Machine
 Assisted Chin Up,Chin-Up – Assisted,https://drive.google.com/file/d/1tg4xoWAovSgArfK_aaCR0L2PFm5RZSpb/view?usp=drivesdk,Compound,Vertical Pull,Lats,Biceps,Pull Up Bar
 Assisted Chin Up (neu),Chin-Up – Assisted (Neutral Grip),https://drive.google.com/file/d/1P0Igyz46QlZNHzFC0LRha03RSoYuGAb7/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Pull Up Bar
 Chin up (neutral),Chin-Up – Neutral Grip,https://drive.google.com/file/d/1h51w7fH5YKBVhx0R6dS9v-s3ZiHB5l69/view?usp=drivesdk,Compound,Vertical Pull,Lats,Biceps,Pull Up Bar
 Chin up (supinated),Chin-Up – Supinated Grip,https://drive.google.com/file/d/1sWNLuJ6MtY6zqUWrXznIfsmrB2nlEVNf/view?usp=drivesdk,Compound,Vertical Pull,Lats,Biceps,Pull Up Bar
 Hollow body hold,Core Hold – Hollow Body,https://drive.google.com/file/d/13dN0UrJeGhaWNzusJt1REE_FGbjmXYdp/view?usp=drivesdk,Isolation,Isolation,Abdominals,,Bodyweight
 Weighted crunch machine,Crunch – Weighted Machine,https://drive.google.com/file/d/1XdfN8XFhvszWLmJeV371mUDPjIGAZKW2/view?usp=drivesdk,Isolation,Isolation,Abdominals,,Machine
 Alternating dead bug,Dead Bug – Alternating,https://drive.google.com/file/d/1G3pvmFjbN0yoZ5lFpruFj7a7fDxuWOVY/view?usp=drivesdk,Isolation,Isolation,Abdominals,,Bodyweight
 Dead bug hip flexor,Dead Bug – Hip Flexor Emphasis,https://drive.google.com/file/d/16Gpeil70I-ixOzz0bTCuK1DRXj9JZReb/view?usp=drivesdk,Isolation,None of the provided categories directly apply,Abdominals,,Plate
 Dead bug hold,Dead Bug – Isometric Hold,https://drive.google.com/file/d/1WoPfg0ZDASTjYE515ASyFoTOpyzcMrqT/view?usp=drivesdk,Isolation,Vertical Push,Abdominals,,Bodyweight
 conventional deadlift ,Deadlift – Conventional,https://drive.google.com/file/d/1B3yzoXqLIFH7QV7KuxVfhCYKqA1yO4aZ/view?usp=drivesdk,Compound,Hinge,Hamstrings,Glutes,Barbell
 conventional deadlift (paused),Deadlift – Conventional (Paused),https://drive.google.com/file/d/1UFXSwA-z9_iqMIXu-ehbFabQ5yVMvSKl/view?usp=drivesdk,Compound,Hinge,Hamstrings,Glutes,Barbell
 deficit deadlift,Deadlift – Deficit,https://drive.google.com/file/d/1oLKtNcSSfbcpH7yxJXSqQKFuQo7HCP5x/view?usp=drivesdk,Compound,Hinge,Hamstrings,Glutes,Barbell
 paused deficit deadlift,Deadlift – Deficit (Paused),https://drive.google.com/file/d/1nOKFwdlCkrStShed7VVgWWCyLLj_bhnt/view?usp=drivesdk,Compound,Hinge,Hamstrings,Glutes,Barbell
 Kb dl,Deadlift – Kettlebell,https://drive.google.com/file/d/1Uor4sj_F6mAeimK2eLwiM8ye492fyh1l/view?usp=drivesdk,Compound,Hinge,Hamstrings,Glutes,Kettlebell
 Barbell RDL,Deadlift – Romanian (Barbell),https://drive.google.com/file/d/17QkFrrpbXsYfW_8Gpf5EGLX2Q-bnBfGi/view?usp=drivesdk,Compound,Hinge,Hamstrings,Glutes,Barbell
 Db rdl,Deadlift – Romanian Dumbbell,https://drive.google.com/file/d/1IKlXqXBeKsk_tfceYX9Xv2dcfwAGlaJT/view?usp=drivesdk,Compound,Hinge,Glutes,Hamstrings,Dumbbells
 Db rdl 1+1/4,Deadlift – Romanian Dumbbell (1¼ Reps),https://drive.google.com/file/d/14Bgkws1hCcVqt8a5OBejO7fN19Z_YMk_/view?usp=drivesdk,Compound,Hinge,Glutes,Hamstrings,Dumbbells
 snatch grip deadlift,Deadlift – Snatch Grip,https://drive.google.com/file/d/1NkdQ5nd3Pi7jc25HSXckk4JxJzrhDIt6/view?usp=drivesdk,Compound,Hinge,Hamstrings,Glutes,Barbell
 snatch grip deficit deadlift,Deadlift – Snatch Grip (Deficit),https://drive.google.com/file/d/1djobhoonXdj1cH9vsDHHjNfa63rsoDML/view?usp=drivesdk,Compound,Hinge,Hamstrings,Glutes,Barbell
 Snatch grip rdl,Deadlift – Snatch Grip Romanian,https://drive.google.com/file/d/1U_DjUcJQwJsghuqRveIjS2TTkYraqGQL/view?usp=drivesdk,Compound,Hinge,Hamstrings,Glutes,Barbell
 SLDL,Deadlift – Stiff Leg,https://drive.google.com/file/d/1un7-p34ClufCgrh2ABatU3L_eONEVq0f/view?usp=drivesdk,Compound,Hinge,Hamstrings,Glutes,Barbell
 Trap bar dl,Deadlift – Trap Bar,https://drive.google.com/file/d/1zH5Q5mMuKfNbp-DerA2rUyfTBuauKAEs/view?usp=drivesdk,Compound,Hinge,Hamstrings,Glutes,Trap Bar
 Paused deficit trap bar dl,"Deadlift – Trap Bar (Deficit, Paused)",https://drive.google.com/file/d/1vsQG6TgquwOZ2dHvkqkLYbUY0aoqqpvv/view?usp=drivesdk,Compound,Hinge,Hamstrings,Glutes,Trap Bar
 Deficit trap bar dl,Deadlift – Trap Bar (Deficit),https://drive.google.com/file/d/17BycliWyy72gShxqvLW4rW6fUgmUEwrd/view?usp=drivesdk,Compound,Hinge,Hamstrings,Glutes,Trap Bar
 Dips,Dip,https://drive.google.com/file/d/1CRwIVc1M9ngdlFui81PzoTy62ebESOAg/view?usp=drivesdk,Compound,Horizontal Push,Chest,Shoulders,Dip Station
 Assisted dip,Dip – Assisted,https://drive.google.com/file/d/1FZZme1eeBYIs2w1csJmMRklhwNs61BlF/view?usp=drivesdk,Compound,Horizontal Push,Chest,Shoulders,Dip Station
 facepull (low-high),Face Pull – Cable (Low to High),https://drive.google.com/file/d/1oKdOSrgIWMP6GGiHJXImJIuYSQcD1X-e/view?usp=drivesdk,Isolation,Isolation,Upper Back,Shoulders,Cables
 Seated Face Pull (ext rot),Face Pull – Seated Cable (External Rotation),https://drive.google.com/file/d/1d3DhS6TNK-PIg8kN4vdmzbEbQ61jRhja/view?usp=drivesdk,Isolation,Isolation,Shoulders,Upper Back,Cables
 Seated Face Pull (upper back),Face Pull – Seated Cable (Upper Back),https://drive.google.com/file/d/1cgAoBURrRbR-YAOP8QEBvhKvOJsM8xwh/view?usp=drivesdk,Isolation,Isolation,Upper Back,Shoulders,Cables
 Standing Face Pull,Face Pull – Standing,https://drive.google.com/file/d/1EccYlOkOSrgNzAeN1JN0jE4FbksmWogG/view?usp=drivesdk,Isolation,Isolation,Upper Back,,Cables
 Plate Pinch,Grip Hold – Plate Pinch,https://drive.google.com/file/d/1KQP8Zp4wwUKcNa6Q26UjrxgMl2b-6RZ6/view?usp=drivesdk,Isolation,Vertical Pull,Grip,,Plate
 Seated Hip Abduction,Hip Abduction – Seated,https://drive.google.com/file/d/1KpxfYDHmNBLripvp9a-pTwwO5r024fpf/view?usp=drivesdk,Isolation,Isolation,Glutes,,Machine
 Seated Hip Abduction (lean forward),Hip Abduction – Seated (Forward Lean),https://drive.google.com/file/d/1Z5HsAil5YRkmqwjBf3T6GAZxPakgBiVg/view?usp=drivesdk,Isolation,Isolation,Glutes,,Machine
 Machine standing hip abduction,Hip Abduction – Standing Machine,https://drive.google.com/file/d/1LhqE48iv1vuq8NOcpmNVmlboRK8WcwEX/view?usp=drivesdk,Isolation,Isolation,Glutes,,Machine
 Seated Adduction,Hip Adduction – Seated,https://drive.google.com/file/d/1hHiZGaMAFuPJSZJTrf8cauk4HJ92ISmt/view?usp=drivesdk,Isolation,Isolation,Quads,,Machine
 Multi-hip Kickback,Hip Extension – Multi-Hip Kickback,https://drive.google.com/file/d/1FGYbclvRPGR87nyAhUIDL6O8FEm994py/view?usp=drivesdk,Isolation,Isolation,Glutes,,Machine
 Glute Drive,Hip Thrust – Barbell,https://drive.google.com/file/d/13jfPyf7YKLUTOWHrQi3KNfYV0Bb_Ms9M/view?usp=drivesdk,Isolation,Hip Thrust,Glutes,,Machine
 Glute Drive (1+1/4),Hip Thrust – Barbell (1¼ Reps),https://drive.google.com/file/d/1gjtFQYh3FMNfvBiPGITDGxyawZI8kkQT/view?usp=drivesdk,Isolation,Hip Thrust,Glutes,,Machine
 Frog pump,Hip Thrust – Frog Pump,https://drive.google.com/file/d/1THYx0vuTTuD9e7LvpcBoWapxzvx4KwEO/view?usp=drivesdk,Isolation,Hip Thrust,Glutes,,Barbell
 Glute Drive (sl),Hip Thrust – Single-Leg,https://drive.google.com/file/d/1fKZWl3O-56wnzW4MIFkUuvQk0VK2WLqI/view?usp=drivesdk,Isolation,Hip Thrust,Glutes,,Machine
 Glute Drive ( sl e),Hip Thrust – Single-Leg Elevated,https://drive.google.com/file/d/1iXqKxH6_7ocYoVJeOp3hJTyyuGetfvR1/view?usp=drivesdk,Isolation,Hip Thrust,Glutes,,Machine
 Db jump,Jump – Dumbbell,https://drive.google.com/file/d/1khl5O4H4DMK7N1QY4T4r9rV9OPPQaow5/view?usp=drivesdk,Compound,Plyometric,Quads,Glutes,Dumbbells
 Captain's chair knee raise,Knee Raise – Captain’s Chair,https://drive.google.com/file/d/1eazNYwtNiJKZgwZA3aV7KMI8zyly8BN-/view?usp=drivesdk,Isolation,Isolation,Abdominals,,Machine
 Single cable lat prayer,Lat Prayer – Single Arm Cable,https://drive.google.com/file/d/1YJnnbBLvaBwlqzvoScri-VAKsSK2eZKG/view?usp=drivesdk,Compound,Vertical Pull,Lats,Upper Back,Cables
 Cable Pulldown (rope),Lat Pulldown – Cable (Rope),https://drive.google.com/file/d/1QBDsx7MvLAJteJA6qJFLkRg-v6AAIXhW/view?usp=drivesdk,Isolation,Vertical Pull,Triceps,,Cables
 Cable Pulldown (sa),Lat Pulldown – Cable (Single Arm),https://drive.google.com/file/d/13R9WwEPT-KBGhm415cbrsoH2MI3zQUpz/view?usp=drivesdk,Isolation,Isolation,Triceps,,Cables
 LPD Cls Neu,Lat Pulldown – Close Grip Neutral,https://drive.google.com/file/d/1dHdC4UXBMc5vSkYB5pXBhWjCGeqBfiZr/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Cables
 1/2 kneeling LPD,Lat Pulldown – Half Kneeling,https://drive.google.com/file/d/1vTnMx0W4j2cfkm9sUHk6cKhK5mOyVtvz/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Cables
 MB LPD Cls Neu,Lat Pulldown – Machine (Close Grip Neutral),https://drive.google.com/file/d/1CWmfBjWjcvZu4dTpsoNXCL83SlaP8uDc/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Cables
 Mb lpd mid neut,Lat Pulldown – Machine (Mid Grip Neutral),https://drive.google.com/file/d/13WkhTThaC1s1Uv8Fnf_DryWRHGm8Hwgk/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Cables
 MB LPD Supinated,Lat Pulldown – Machine (Supinated),https://drive.google.com/file/d/14oNLORF__AOnkqpDaet7Coo94dvvx_sl/view?usp=drivesdk,Compound,Vertical Pull,Lats,Biceps,Cables
 MB LPD Wd-neu,Lat Pulldown – Machine (Wide Grip Neutral),https://drive.google.com/file/d/1l8NiStcCbT0Cb4SL0Ri4KgocbazMXvhE/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Cables
 Lpd mid neutral,Lat Pulldown – Mid Grip Neutral,https://drive.google.com/file/d/1m3zWflbSrbd099HcspKCd6_eCjYn4CAK/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Cables
 Mid-back lpd pronated,Lat Pulldown – Mid-Back (Pronated),https://drive.google.com/file/d/10UJjPBUUgWKHb49Ju-MmrUfXOubD3RDb/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Cables
 Mid-back LPD (w-pro),Lat Pulldown – Mid-Back (Wide Pronated),https://drive.google.com/file/d/1YANi4-L0pmpI_FYzo1BSfPmQhmHA22_D/view?usp=drivesdk,Compound,Vertical Pull,Lats,Upper Back,Cables
 Pin loaded lpd,Lat Pulldown – Pin Loaded,https://drive.google.com/file/d/1z_UYlXdAvkJJCtVpAPLlKumeHrkuuNCQ/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Machine
 Plate loaded lat pulldown,Lat Pulldown – Plate Loaded,https://drive.google.com/file/d/1AUC2QdvQeu-xwvIJTtjihok7Pw8vYDLT/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Machine
 Plate loaded lat pulldown (single),Lat Pulldown – Plate Loaded (Single Arm),https://drive.google.com/file/d/1SPkDnK-UPJxeSWDcEV8C8abaqFCfoY4A/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Machine
 LPD Pronated,Lat Pulldown – Pronated,https://drive.google.com/file/d/1k3oVgyIBXWfyOKBsXS8a-vmAp0vZx10Q/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Cables
 LPD Single Arm,Lat Pulldown – Single Arm,https://drive.google.com/file/d/1MehxXTb8Dk7DHGSIW3uuMcP8geILwUbd/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Cables
 LPD supinated,Lat Pulldown – Supinated,https://drive.google.com/file/d/1A-D3Rj4lMjCdy1BhptBSXcmWVbfc0nvc/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Cables
 LPD wde-neu,Lat Pulldown – Wide Grip Neutral,https://drive.google.com/file/d/1D2pfWOs-6421NLtJAZ-JUEHbt4Qm0Alq/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Cables
 Lat Pulldown wide-pronated,Lat Pulldown – Wide Grip Pronated,https://drive.google.com/file/d/1Klul6ZUKI35VYcOeXSd4SjD2aq-x9-TQ/view?usp=drivesdk,Compound,Vertical Pull,Lats,Back,Cables
Bench Supported Lateral Raise,Lateral Raise – Bench Supported,https://drive.google.com/file/d/12LQz6iXB5MPKIz7ZUNYpMSbzgs2teijC/view?usp=drivesdk,Isolation,Vertical Push,Shoulders,,Dumbbell + Bench
 Chest supported db lateral raise,Lateral Raise – Chest Supported Dumbbell,https://drive.google.com/file/d/1_geGHh_nv-QBLouopP7kUa3CXV6OmGoN/view?usp=drivesdk,Isolation,Vertical Push,Shoulders,,Dumbbell + Bench
Chest supported DB lateral raise,Lateral Raise – Chest Supported Dumbbell,https://drive.google.com/file/d/1sDSpqiUDD4L4zc9iTDiejl3X4eaosisN/view?usp=drivesdk,Isolation,Vertical Pull,Shoulders,,Dumbbell + Bench
 DB lateral raise,Lateral Raise – Dumbbell,https://drive.google.com/file/d/1QAlZsuLnI6CuKR5Fe52Pq4GmdCGefDpm/view?usp=drivesdk,Isolation,Isolation,Shoulders,,Dumbbell
Machine lateral raise,Lateral Raise – Machine,https://drive.google.com/file/d/1S2BS_cocyKUz0tvBe-XN0XClH9F11J8G/view?usp=drivesdk,Isolation,Isolation,Shoulders,,Machine
